"","employees","salaries_2017","adjustments","salaries_2018","got_raise"
"58","Employee 58",42283.4996366873,3332.45199290104,45615.9516295884,TRUE
"59","Employee 59",42038.9397419058,-3369.85951056704,38669.0802313387,FALSE
"60","Employee 60",43300.8178812452,8117.83525394276,51418.6531351879,TRUE
"61","Employee 61",44910.2562200278,7894.58023849875,52804.8364585266,TRUE
"62","Employee 62",49451.9593007863,5557.41070304066,55009.3700038269,TRUE
"63","Employee 63",45214.9320859462,5208.9702244848,50423.902310431,TRUE
"64","Employee 64",47873.3353922144,9223.50040287711,57096.8357950915,TRUE
"65","Employee 65",40633.5040484555,1549.00308232754,42182.5071307831,TRUE
"66","Employee 66",41671.6448310763,4124.00138447993,45795.6462155562,TRUE
"67","Employee 67",41669.4158408791,-1539.14130060002,40130.2745402791,FALSE
"68","Employee 68",40547.5326650776,-619.334789225832,39928.1978758518,FALSE
"69","Employee 69",43206.7054579966,3284.88686122,46491.5923192166,TRUE
"70","Employee 70",42053.7399617024,-4752.29049916379,37301.4494625386,FALSE
"71","Employee 71",49790.2165073901,-2584.44664301351,47205.7698643766,FALSE
"72","Employee 72",44885.6067401357,5762.39588321187,50648.0026233476,TRUE
"73","Employee 73",47986.2632974982,6600.58745066635,54586.8507481646,TRUE
"74","Employee 74",46048.9180567674,-1124.99324604869,44923.9248107187,FALSE
"75","Employee 75",47374.3666196242,2586.62603679113,49960.9926564153,TRUE
"76","Employee 76",42369.1194574349,3389.56553023309,45758.6849876679,TRUE
"77","Employee 77",46769.433694426,7693.3743711561,54462.8080655821,TRUE
"78","Employee 78",43268.1115856394,5117.45346244425,48385.5650480837,TRUE
"79","Employee 79",40876.5183482319,2323.59783607535,43200.1161843073,TRUE
"80","Employee 80",43539.5224788226,7737.17326577753,51276.6957446001,TRUE
"81","Employee 81",45910.7505576685,-3394.39817122184,42516.3523864467,FALSE
"82","Employee 82",46771.3311943226,1081.21131197549,47852.5425062981,TRUE
"83","Employee 83",40360.3927884251,-3642.89815537632,36717.4946330488,FALSE
"84","Employee 84",44491.4026279002,9698.22098966688,54189.6236175671,TRUE
"85","Employee 85",42628.924541641,3591.50452422909,46220.4290658701,TRUE
"86","Employee 86",41422.108609695,-3735.61342479661,37686.4951848984,FALSE
"87","Employee 87",45876.9496926107,5036.92110767588,50913.8708002865,TRUE
"88","Employee 88",49727.9654210433,6701.85910654254,56429.8245275859,TRUE
"89","Employee 89",48839.2193429172,-4251.39580620453,44587.8235367127,FALSE
"90","Employee 90",44200.0100202858,-3774.77636560798,40425.2336546779,FALSE
"91","Employee 91",44745.1726044528,-201.093530049548,44544.0790744033,FALSE
"92","Employee 92",45072.1195619553,-2379.36049583368,42692.7590661217,FALSE
"93","Employee 93",47069.2043541931,9891.17572200485,56960.3800761979,TRUE
"94","Employee 94",43508.823805023,5702.68235984258,49211.5061648656,TRUE
"95","Employee 95",49111.7804008536,667.591212550178,49779.3716134038,TRUE
"96","Employee 96",40958.9513274841,6110.92994920909,47069.8812766932,TRUE
"97","Employee 97",43215.9013813362,1300.50624837168,44516.4076297078,TRUE
"98","Employee 98",40867.4885844812,7663.42869843356,48530.9172829147,TRUE
"99","Employee 99",45326.2994694524,1365.05107977428,46691.3505492266,TRUE
"100","Employee 100",47827.0198474638,-1071.45840418525,46755.5614432786,FALSE
